"query-name","logical-query"
"Q1","['customer', 'order', 'deliverer']"
"Q2","['customer', 'order', 'discount']"                                                          
"Q3","['order_details', 'product', 'order']"                                                     
"Q4","['order_details', 'customer', 'order']"                                                    
"Q5","['order', 'deliverer', 'discount']"                                                         
"Q6","['order_details', 'order', 'deliverer']"                                                   
"Q7","['order_details', 'product', 'subcategory']"                                               
"Q8","['order_details', 'order', 'discount']"                                                    
"Q9","['category', 'product', 'subcategory']"                                                     
"Q10","['order_details', 'product', 'order', 'deliverer']"                                          
"Q11","['order_details', 'product', 'customer', 'order']"                                           
"Q12","['order_details', 'order', 'deliverer', 'discount']"                                         
"Q13","['order_details', 'customer', 'order', 'discount']"                                          
"Q14","['order_details', 'customer', 'order', 'deliverer']"                                         
"Q15","['order_details', 'product', 'order', 'discount']"                                           
"Q16","['order_details', 'product', 'subcategory', 'order']"                                        
"Q17","['customer', 'order', 'deliverer', 'discount']"                                               
"Q18","['category', 'order_details', 'product', 'subcategory']"                                      
"Q19","['order_details', 'customer', 'order', 'deliverer', 'discount']"                               
"Q20","['order_details', 'product', 'subcategory', 'customer', 'order']"                              
"Q21","['order_details', 'product', 'customer', 'order', 'discount']"                                 
"Q22","['order_details', 'product', 'subcategory', 'order', 'discount']"                              
"Q23","['order_details', 'product', 'order', 'deliverer', 'discount']"                                
"Q24","['order_details', 'product', 'subcategory', 'order', 'deliverer']"                             
"Q25","['category', 'order_details', 'product', 'subcategory', 'order']"
"Q26","['customer', 'deliverer', 'order', 'order_details', 'product']"
"Q27","['order_details', 'product', 'subcategory', 'order', 'deliverer', 'discount']"
"Q28","['order_details', 'product', 'subcategory', 'customer', 'order', 'deliverer']"
"Q29","['category', 'order_details', 'product', 'subcategory', 'customer', 'order']"
"Q30","['category', 'order_details', 'product', 'subcategory', 'order', 'discount']"
"Q31","['order_details', 'product', 'subcategory', 'customer', 'order', 'discount']"
"Q32","['order_details', 'product', 'customer', 'order', 'deliverer', 'discount']"
"Q33","['category', 'order_details', 'product', 'subcategory', 'order', 'deliverer']"
"Q34","['order_details', 'product', 'subcategory', 'customer', 'order', 'deliverer', 'discount']"
"Q35","['category', 'order_details', 'product', 'subcategory', 'customer', 'order', 'discount']"
"Q36","['category', 'order_details', 'product', 'subcategory', 'customer', 'order', 'deliverer']"
"Q37","['category', 'order_details', 'product', 'subcategory', 'order', 'deliverer', 'discount']"
"Q38","['category', 'order_details', 'product', 'subcategory', 'customer', 'order', 'deliverer', 'discount']"
