hash,query,talbes,ratio,nr tables,time in s
8f30001f9d8fbdd12cf2c549c1d18aecb5179c6e93b134408aa10e6e5133a61c,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM discount as dis
JOIN ""order"" as ord
ON ord.discount_id = dis.id
JOIN order_details as ord_det
ON ord_det.order_id = ord.id
JOIN product as prod
ON prod.id = ord_det.product_id;
COMMIT;","('discount', 'order', 'order_details', 'product')",1,4,62.01600814
652b46f08f4c6cc6d7b742e8f29459ef3aa3e4c0eb082a373ea5ac576ab37132,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM ""order"" as ord
JOIN discount as dis
ON dis.id = ord.discount_id
JOIN order_details as ord_det
ON ord_det.order_id = ord.id
JOIN product as prod
ON prod.id = ord_det.product_id;
COMMIT;","('discount', 'order', 'order_details', 'product')",1,4,57.16840148
0c4e4892d51909b640663cb014ff89490427b88a64fe3e3848d56e9c4cdfd3c9,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM ""order"" as ord
JOIN order_details as ord_det
ON ord_det.order_id = ord.id
JOIN discount as dis
ON dis.id = ord.discount_id
JOIN product as prod
ON prod.id = ord_det.product_id;
COMMIT;","('discount', 'order', 'order_details', 'product')",1,4,62.75937366
ab1490adb86d539f4c916619286fffcf48087bf9084603c553281e639dd2b8ad,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM ""order"" as ord
JOIN order_details as ord_det
ON ord_det.order_id = ord.id
JOIN product as prod
ON prod.id = ord_det.product_id
JOIN discount as dis
ON dis.id = ord.discount_id;
COMMIT;","('discount', 'order', 'order_details', 'product')",1,4,64.28326011
ab6585bb00d680d795643570c68a52e31c9dc36f40f704e71a50bf9ea860abf8,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM order_details as ord_det
JOIN ""order"" as ord
ON ord.id = ord_det.order_id
JOIN discount as dis
ON dis.id = ord.discount_id
JOIN product as prod
ON prod.id = ord_det.product_id;
COMMIT;","('discount', 'order', 'order_details', 'product')",1,4,63.8353374
ec9f3267bef17cdb2116d641fbdc1d3ce5189681fc588665e572a4cdc24f096c,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM order_details as ord_det
JOIN ""order"" as ord
ON ord.id = ord_det.order_id
JOIN product as prod
ON prod.id = ord_det.product_id
JOIN discount as dis
ON dis.id = ord.discount_id;
COMMIT;","('discount', 'order', 'order_details', 'product')",1,4,67.84187603
50f81af9dfccc2caa06fe5fd06cbf814761957b0aa6405c98dca15049adcdd4c,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM order_details as ord_det
JOIN product as prod
ON prod.id = ord_det.product_id
JOIN ""order"" as ord
ON ord.id = ord_det.order_id
JOIN discount as dis
ON dis.id = ord.discount_id;
COMMIT;","('discount', 'order', 'order_details', 'product')",1,4,60.43634653
12c65286e8b03931df67052563d4ba9f418ee9607f05eb2057299249f06677b4,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM product as prod
JOIN order_details as ord_det
ON ord_det.product_id = prod.id
JOIN ""order"" as ord
ON ord.id = ord_det.order_id
JOIN discount as dis
ON dis.id = ord.discount_id;
COMMIT;","('discount', 'order', 'order_details', 'product')",1,4,58.82939863
61e62c16ef8f54b8f849978a964e8fd45e8fb0fa94916ef4e69c0d4126c163d2,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM customer as cus
JOIN ""order"" as ord
ON ord.customer_id = cus.id
JOIN discount as dis
ON dis.id = ord.discount_id
JOIN order_details as ord_det
ON ord_det.order_id = ord.id
JOIN product as prod
ON prod.id = ord_det.product_id;
COMMIT;","('customer', 'discount', 'order', 'order_details', 'product')",1,5,66.47340465
102cf200f5d4a438498c58377b26fbc8c3435091037069a14b465054d18547ae,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM customer as cus
JOIN ""order"" as ord
ON ord.customer_id = cus.id
JOIN order_details as ord_det
ON ord_det.order_id = ord.id
JOIN discount as dis
ON dis.id = ord.discount_id
JOIN product as prod
ON prod.id = ord_det.product_id;
COMMIT;","('customer', 'discount', 'order', 'order_details', 'product')",1,5,72.38873386
