hash,query,tables,ratio,nr of tables,time s,time optimizer s,order
8f30001f9d8fbdd12cf2c549c1d18aecb5179c6e93b134408aa10e6e5133a61c,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM discount as dis
JOIN ""order"" as ord
ON ord.discount_id = dis.id
JOIN order_details as ord_det
ON ord_det.order_id = ord.id
JOIN product as prod
ON prod.id = ord_det.product_id;
COMMIT;","('discount', 'order', 'order_details', 'product')",1,4,62.72848511,56.85664535,0
652b46f08f4c6cc6d7b742e8f29459ef3aa3e4c0eb082a373ea5ac576ab37132,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM ""order"" as ord
JOIN discount as dis
ON dis.id = ord.discount_id
JOIN order_details as ord_det
ON ord_det.order_id = ord.id
JOIN product as prod
ON prod.id = ord_det.product_id;
COMMIT;","('discount', 'order', 'order_details', 'product')",1,4,55.54948759,55.3080368,1
0c4e4892d51909b640663cb014ff89490427b88a64fe3e3848d56e9c4cdfd3c9,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM ""order"" as ord
JOIN order_details as ord_det
ON ord_det.order_id = ord.id
JOIN discount as dis
ON dis.id = ord.discount_id
JOIN product as prod
ON prod.id = ord_det.product_id;
COMMIT;","('discount', 'order', 'order_details', 'product')",1,4,60.65778494,56.48197722,2
ab1490adb86d539f4c916619286fffcf48087bf9084603c553281e639dd2b8ad,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM ""order"" as ord
JOIN order_details as ord_det
ON ord_det.order_id = ord.id
JOIN product as prod
ON prod.id = ord_det.product_id
JOIN discount as dis
ON dis.id = ord.discount_id;
COMMIT;","('discount', 'order', 'order_details', 'product')",1,4,64.00654459,55.65411925,3
ab6585bb00d680d795643570c68a52e31c9dc36f40f704e71a50bf9ea860abf8,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM order_details as ord_det
JOIN ""order"" as ord
ON ord.id = ord_det.order_id
JOIN discount as dis
ON dis.id = ord.discount_id
JOIN product as prod
ON prod.id = ord_det.product_id;
COMMIT;","('discount', 'order', 'order_details', 'product')",1,4,61.38054848,56.39462352,4
ec9f3267bef17cdb2116d641fbdc1d3ce5189681fc588665e572a4cdc24f096c,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM order_details as ord_det
JOIN ""order"" as ord
ON ord.id = ord_det.order_id
JOIN product as prod
ON prod.id = ord_det.product_id
JOIN discount as dis
ON dis.id = ord.discount_id;
COMMIT;","('discount', 'order', 'order_details', 'product')",1,4,61.23835087,59.43463659,5
50f81af9dfccc2caa06fe5fd06cbf814761957b0aa6405c98dca15049adcdd4c,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM order_details as ord_det
JOIN product as prod
ON prod.id = ord_det.product_id
JOIN ""order"" as ord
ON ord.id = ord_det.order_id
JOIN discount as dis
ON dis.id = ord.discount_id;
COMMIT;","('discount', 'order', 'order_details', 'product')",1,4,61.64884663,54.8782208,6
12c65286e8b03931df67052563d4ba9f418ee9607f05eb2057299249f06677b4,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM product as prod
JOIN order_details as ord_det
ON ord_det.product_id = prod.id
JOIN ""order"" as ord
ON ord.id = ord_det.order_id
JOIN discount as dis
ON dis.id = ord.discount_id;
COMMIT;","('discount', 'order', 'order_details', 'product')",1,4,60.86849785,57.35217428,7
f28315ff5ffc08d4d8cff107838f821a40bc7e618a320cd5b84c46257d8fd1e9,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM discount as dis
JOIN ""order"" as ord
ON ord.discount_id = dis.id
JOIN order_details as ord_det
ON ord_det.order_id = ord.id
JOIN product as prod
ON prod.id = ord_det.product_id
JOIN subcategory as sub
ON sub.id = prod.subcategory_id;
COMMIT;","('discount', 'order', 'order_details', 'product', 'subcategory')",1,5,65.6418035,55.58890986,0
cf341684d863585b94327abd3fdfd8e9c1eb94c57448cd50fb4b7c8dbb9211ba,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM ""order"" as ord
JOIN discount as dis
ON dis.id = ord.discount_id
JOIN order_details as ord_det
ON ord_det.order_id = ord.id
JOIN product as prod
ON prod.id = ord_det.product_id
JOIN subcategory as sub
ON sub.id = prod.subcategory_id;
COMMIT;","('discount', 'order', 'order_details', 'product', 'subcategory')",1,5,64.17010117,54.56438041,1
